word,freq_zipf,language,source,n_density,old20
against,5.68,en,wordfreq,0,2.95
age,5.32,en,wordfreq,8,1.15
aged,4.5,en,wordfreq,1,1.9
agencies,4.54,en,wordfreq,0,3.75
agency,4.87,en,wordfreq,0,2.85
agenda,4.3,en,wordfreq,0,2.65
agent,4.81,en,wordfreq,0,1.95
agents,4.55,en,wordfreq,0,2.4
ages,4.53,en,wordfreq,1,1.8
aggregate,3.94,en,wordfreq,0,4.6
aggression,3.9,en,wordfreq,0,3.75
aggressive,4.32,en,wordfreq,0,4.45
aging,4.04,en,wordfreq,0,2.0
ago,5.42,en,wordfreq,2,1.8
agree,4.97,en,wordfreq,0,1.95
agreed,4.84,en,wordfreq,1,2.4
agreeing,3.83,en,wordfreq,0,3.25
agreement,4.88,en,wordfreq,0,3.75
agreements,4.12,en,wordfreq,0,3.8
agrees,4.08,en,wordfreq,1,2.4
agricultural,4.34,en,wordfreq,0,6.25
agriculture,4.37,en,wordfreq,0,5.45
ah,4.63,en,wordfreq,23,1.0
ahead,5.01,en,wordfreq,0,1.95
ahh,3.86,en,wordfreq,1,1.9
ahmed,3.83,en,wordfreq,2,2.15
ai,4.23,en,wordfreq,32,1.0
aid,4.75,en,wordfreq,11,1.0
aids,4.25,en,wordfreq,4,1.6
aim,4.51,en,wordfreq,10,1.3
aimed,4.25,en,wordfreq,3,1.85
aiming,3.89,en,wordfreq,1,1.95
aims,4.21,en,wordfreq,3,1.8
air,5.37,en,wordfreq,4,1.55
aircraft,4.64,en,wordfreq,0,4.35
aired,3.85,en,wordfreq,5,1.7
airline,4.04,en,wordfreq,0,2.85
airlines,4.19,en,wordfreq,0,3.45
airplane,3.92,en,wordfreq,0,3.75
airport,4.84,en,wordfreq,0,3.15
airports,3.93,en,wordfreq,0,3.4
aka,4.15,en,wordfreq,2,1.8
al,5.16,en,wordfreq,25,1.0
alabama,4.26,en,wordfreq,0,3.55
alan,4.45,en,wordfreq,2,1.85
alarm,4.28,en,wordfreq,0,2.1
alaska,4.19,en,wordfreq,0,2.9
albany,3.81,en,wordfreq,0,2.9
albeit,3.91,en,wordfreq,1,2.8
albert,4.24,en,wordfreq,1,2.5
alberta,3.86,en,wordfreq,0,3.2
album,5.02,en,wordfreq,0,2.8
albums,4.19,en,wordfreq,0,2.9
alcohol,4.61,en,wordfreq,0,3.8
alcoholic,3.91,en,wordfreq,0,4.7
alert,4.33,en,wordfreq,0,2.05
alex,4.62,en,wordfreq,0,2.0
alexander,4.4,en,wordfreq,0,3.85
alexandria,3.77,en,wordfreq,0,5.55
alfred,3.99,en,wordfreq,0,2.8
algebra,3.77,en,wordfreq,0,3.65
algorithm,4.02,en,wordfreq,0,4.75
algorithms,3.81,en,wordfreq,0,5.3
ali,4.31,en,wordfreq,2,1.75
alice,4.26,en,wordfreq,3,1.85
alien,4.29,en,wordfreq,1,1.9
aliens,4.03,en,wordfreq,0,2.45
aligned,3.8,en,wordfreq,0,2.85
alignment,3.78,en,wordfreq,0,3.75
alike,4.13,en,wordfreq,2,1.85
alison,3.76,en,wordfreq,0,2.6
alive,4.76,en,wordfreq,3,1.8
all,6.52,en,wordfreq,4,1.3
allah,3.89,en,wordfreq,1,2.4
allan,3.8,en,wordfreq,2,1.85
allegations,4.08,en,wordfreq,0,4.2
alleged,4.37,en,wordfreq,0,2.8
allegedly,4.06,en,wordfreq,0,4.35
allen,4.38,en,wordfreq,4,1.75
allergic,3.78,en,wordfreq,0,3.95
alley,3.87,en,wordfreq,1,1.85
alliance,4.4,en,wordfreq,0,3.4
allied,4.07,en,wordfreq,1,2.4
