word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,replicate,list,trial
algeria,3.62,english,wordfreq,0,2.75,725,7,3,3.62,low_frequency,2,1,1,45
aliens,4.03,english,wordfreq,0,1.95,742,6,2,4.03,low_frequency,36,1,1,46
bits,4.18,english,wordfreq,15,1.0,2771,4,1,4.18,low_frequency,28,1,1,47
dial,3.93,english,wordfreq,5,1.55,7487,4,1,3.93,low_frequency,6,1,1,48
batch,3.91,english,wordfreq,8,1.5,2299,5,1,3.91,low_frequency,30,1,1,49
famed,3.6,english,wordfreq,8,1.45,9841,5,2,3.6,low_frequency,21,1,1,50
reason,5.32,english,wordfreq,1,1.85,21772,6,2,5.32,high_frequency,12,1,1,51
allied,4.07,english,wordfreq,1,1.85,777,6,2,4.07,low_frequency,12,1,1,52
carl,4.24,english,wordfreq,15,1.0,4066,4,1,4.24,low_frequency,39,1,1,53
jeep,3.72,english,wordfreq,6,1.7,14378,4,1,3.72,low_frequency,16,1,1,54
security,5.2,english,wordfreq,0,2.8,23768,8,4,5.2,high_frequency,2,1,1,55
bert,3.5,english,wordfreq,12,1.25,2589,4,1,3.5,low_frequency,37,1,1,56
together,5.46,english,wordfreq,0,3.25,27254,8,3,5.46,high_frequency,22,1,1,57
raced,3.59,english,wordfreq,8,1.35,21483,5,2,3.59,low_frequency,33,1,1,58
calf,3.71,english,wordfreq,4,1.65,3830,4,1,3.71,low_frequency,40,1,1,59
anne,4.32,english,wordfreq,4,1.65,1083,4,2,4.32,low_frequency,31,1,1,60
audi,3.66,english,wordfreq,2,1.65,1814,4,2,3.66,low_frequency,15,1,1,61
done,5.58,english,wordfreq,20,1.0,8087,4,2,5.58,high_frequency,28,1,1,62
america,5.22,english,wordfreq,0,2.55,906,7,4,5.22,high_frequency,3,1,1,63
means,5.44,english,wordfreq,8,1.45,16708,5,1,5.44,high_frequency,21,1,1,64
then,6.07,english,wordfreq,12,1.25,26945,4,1,6.07,high_frequency,37,1,1,65
acids,3.85,english,wordfreq,0,1.9,219,5,2,3.85,low_frequency,14,1,1,66
above,5.2,english,wordfreq,1,1.95,65,5,3,5.2,high_frequency,1,1,1,67
seen,5.52,english,wordfreq,13,1.1,23797,4,1,5.52,high_frequency,25,1,1,68
bothers,3.55,english,wordfreq,1,1.8,3147,7,2,3.55,low_frequency,11,1,1,69
aaron,4.23,english,wordfreq,3,1.8,5,5,2,4.23,low_frequency,10,1,1,70
human,5.35,english,wordfreq,0,1.9,12993,5,2,5.35,high_frequency,14,1,1,71
take,5.92,english,wordfreq,13,1.05,26534,4,2,5.92,high_frequency,35,1,1,72
though,5.5,english,wordfreq,1,1.75,27039,6,1,5.5,high_frequency,24,1,1,73
rage,4.11,english,wordfreq,13,1.05,21530,4,2,4.11,low_frequency,35,1,1,74
adobe,3.53,english,wordfreq,1,1.95,385,5,3,3.53,low_frequency,1,1,1,75
accent,4.14,english,wordfreq,2,1.85,125,6,2,4.14,low_frequency,32,1,1,76
today,5.55,english,wordfreq,0,1.95,27245,5,2,5.55,high_frequency,27,1,1,77
reside,3.67,english,wordfreq,1,1.75,22444,6,3,3.67,low_frequency,24,1,1,78
space,5.23,english,wordfreq,3,1.6,25107,5,2,5.23,high_frequency,5,1,1,79
acquire,4.13,english,wordfreq,0,2.55,237,7,3,4.13,low_frequency,3,1,1,80
attach,3.75,english,wordfreq,1,2.45,1747,6,2,3.75,low_frequency,8,2,1,1
arab,4.39,english,wordfreq,3,1.75,1346,4,2,4.39,low_frequency,34,2,1,2
early,5.43,english,wordfreq,2,1.7,8487,5,2,5.43,high_frequency,20,2,1,3
large,5.39,english,wordfreq,4,1.75,15151,5,2,5.39,high_frequency,17,2,1,4
barred,3.71,english,wordfreq,4,1.75,2240,6,2,3.71,low_frequency,5,2,1,5
such,5.84,english,wordfreq,3,1.75,26043,4,1,5.84,high_frequency,34,2,1,6
death,5.4,english,wordfreq,2,1.85,6898,5,1,5.4,high_frequency,18,2,1,7
fine,5.23,english,wordfreq,17,1.0,10233,4,2,5.23,high_frequency,4,2,1,8
shit,5.48,english,wordfreq,12,1.05,24214,4,1,5.48,high_frequency,23,2,1,9
keep,5.66,english,wordfreq,8,1.5,14739,4,1,5.66,high_frequency,30,2,1,10
along,5.38,english,wordfreq,2,1.85,812,5,2,5.38,high_frequency,16,2,1,11
baton,3.64,english,wordfreq,4,1.75,2313,5,2,3.64,low_frequency,17,2,1,12
help,5.75,english,wordfreq,7,1.55,12458,4,1,5.75,high_frequency,32,2,1,13
looks,5.36,english,wordfreq,6,1.65,15854,5,1,5.36,high_frequency,15,2,1,14
front,5.28,english,wordfreq,1,1.85,10894,5,1,5.28,high_frequency,9,2,1,15
talking,5.29,english,wordfreq,1,1.8,26560,7,2,5.29,high_frequency,10,2,1,16
this,6.82,english,wordfreq,3,1.7,27019,4,1,6.82,high_frequency,40,2,1,17
dive,4.12,english,wordfreq,12,1.05,7938,4,2,4.12,low_frequency,23,2,1,18
bryan,3.98,english,wordfreq,2,1.7,3514,5,1,3.98,low_frequency,20,2,1,19
than,6.13,english,wordfreq,10,1.25,26912,4,1,6.13,high_frequency,38,2,1,20
even,5.99,english,wordfreq,5,1.6,9384,4,2,5.99,high_frequency,36,2,1,21
deaf,3.99,english,wordfreq,5,1.65,6881,4,1,3.99,low_frequency,19,2,1,22
adopt,4.19,english,wordfreq,2,1.85,390,5,2,4.19,low_frequency,18,2,1,23
enough,5.54,english,wordfreq,0,2.45,9049,6,2,5.54,high_frequency,26,2,1,24
fame,4.34,english,wordfreq,14,1.0,9840,4,2,4.34,low_frequency,4,2,1,25
beds,4.17,english,wordfreq,10,1.25,2431,4,1,4.17,low_frequency,38,2,1,26
guys,5.41,english,wordfreq,5,1.65,11985,4,1,5.41,high_frequency,19,2,1,27
among,5.31,english,wordfreq,1,1.9,932,5,2,5.31,high_frequency,11,2,1,28
accord,3.81,english,wordfreq,0,2.45,165,6,2,3.81,low_frequency,26,2,1,29
seems,5.24,english,wordfreq,5,1.65,23796,5,1,5.24,high_frequency,6,2,1,30
were,6.34,english,wordfreq,5,1.6,29294,4,2,6.34,high_frequency,39,2,1,31
short,5.33,english,wordfreq,6,1.5,24254,5,1,5.33,high_frequency,13,2,1,32
part,5.78,english,wordfreq,15,1.0,19391,4,1,5.78,high_frequency,33,2,1,33
again,5.7,english,wordfreq,1,1.9,535,5,2,5.7,high_frequency,31,2,1,34
amelia,3.55,english,wordfreq,0,2.45,896,6,3,3.55,low_frequency,27,2,1,35
cared,4.11,english,wordfreq,8,1.4,4048,5,2,4.11,low_frequency,29,2,1,36
college,5.27,english,wordfreq,1,2.45,5200,7,3,5.27,high_frequency,8,2,1,37
chang,3.73,english,wordfreq,6,1.5,4443,5,1,3.73,low_frequency,13,2,1,38
aired,3.85,english,wordfreq,7,1.55,619,5,2,3.85,low_frequency,25,2,1,39
blade,4.19,english,wordfreq,4,1.75,2805,5,2,4.19,low_frequency,22,2,1,40
night,5.61,english,wordfreq,8,1.4,18186,5,1,5.61,high_frequency,29,2,1,41
alert,4.33,english,wordfreq,1,1.85,703,5,2,4.33,low_frequency,9,2,1,42
self,5.25,english,wordfreq,1,1.85,23826,4,1,5.25,high_frequency,7,2,1,43
anal,3.94,english,wordfreq,1,1.85,969,4,2,3.94,low_frequency,7,2,1,44
bears,4.34,english,wordfreq,14,1.1,2391,5,1,4.34,low_frequency,2,2,1,45
alot,3.93,english,wordfreq,5,1.6,817,4,2,3.93,low_frequency,36,2,1,46
alice,4.26,english,wordfreq,3,1.75,735,5,3,4.26,low_frequency,28,2,1,47
basil,3.65,english,wordfreq,5,1.65,2281,5,2,3.65,low_frequency,6,2,1,48
buys,3.93,english,wordfreq,8,1.5,3739,4,1,3.93,low_frequency,30,2,1,49
alma,3.57,english,wordfreq,4,1.7,802,4,2,3.57,low_frequency,21,2,1,50
report,5.32,english,wordfreq,3,1.8,22355,6,2,5.32,high_frequency,12,2,1,51
barnes,3.94,english,wordfreq,3,1.8,2226,6,2,3.94,low_frequency,12,2,1,52
beta,4.2,english,wordfreq,5,1.6,2609,4,2,4.2,low_frequency,39,2,1,53
abide,3.59,english,wordfreq,2,1.85,40,5,3,3.59,low_frequency,16,2,1,54
share,5.2,english,wordfreq,16,1.0,24086,5,2,5.2,high_frequency,2,2,1,55
bacon,4.15,english,wordfreq,3,1.8,2044,5,2,4.15,low_frequency,37,2,1,56
whole,5.46,english,wordfreq,4,1.75,29401,5,2,5.46,high_frequency,22,2,1,57
hose,3.73,english,wordfreq,14,1.0,12876,4,2,3.73,low_frequency,33,2,1,58
butt,4.28,english,wordfreq,3,1.7,3724,4,1,4.28,low_frequency,40,2,1,59
amber,3.97,english,wordfreq,1,1.9,880,5,2,3.97,low_frequency,31,2,1,60
beams,3.76,english,wordfreq,6,1.65,2379,5,1,3.76,low_frequency,15,2,1,61
women,5.57,english,wordfreq,3,1.75,29613,5,2,5.57,high_frequency,28,2,1,62
date,5.22,english,wordfreq,17,1.0,6827,4,2,5.22,high_frequency,3,2,1,63
news,5.44,english,wordfreq,4,1.7,18118,4,1,5.44,high_frequency,21,2,1,64
could,6.06,english,wordfreq,3,1.8,6157,5,1,6.06,high_frequency,37,2,1,65
align,3.63,english,wordfreq,1,1.95,744,5,2,3.63,low_frequency,14,2,1,66
club,5.2,english,wordfreq,1,1.85,5033,4,1,5.2,high_frequency,1,2,1,67
power,5.52,english,wordfreq,7,1.55,20559,5,2,5.52,high_frequency,25,2,1,68
altar,3.8,english,wordfreq,1,1.9,832,5,2,3.8,low_frequency,11,2,1,69
albert,4.24,english,wordfreq,1,1.8,678,6,2,4.24,low_frequency,10,2,1,70
happy,5.35,english,wordfreq,1,1.95,12168,5,2,5.35,high_frequency,14,2,1,71
still,5.92,english,wordfreq,3,1.7,25674,5,1,5.92,high_frequency,35,2,1,72
side,5.5,english,wordfreq,10,1.15,24369,4,2,5.5,high_frequency,24,2,1,73
anton,3.59,english,wordfreq,3,1.7,1182,5,2,3.59,low_frequency,35,2,1,74
abby,3.56,english,wordfreq,1,1.85,23,4,2,3.56,low_frequency,1,2,1,75
bald,3.83,english,wordfreq,7,1.55,2104,4,1,3.83,low_frequency,32,2,1,76
business,5.56,english,wordfreq,0,2.9,3704,8,3,5.56,high_frequency,27,2,1,77
span,4.07,english,wordfreq,10,1.15,25123,4,1,4.07,low_frequency,24,2,1,78
summer,5.23,english,wordfreq,4,1.75,26119,6,2,5.23,high_frequency,5,2,1,79
chan,4.0,english,wordfreq,14,1.0,4434,4,1,4.0,low_frequency,3,2,1,80
babe,4.11,english,wordfreq,10,1.3,2002,4,2,4.11,low_frequency,8,3,1,1
bing,3.63,english,wordfreq,16,1.0,2711,4,1,3.63,low_frequency,34,3,1,2
local,5.43,english,wordfreq,3,1.75,15766,5,2,5.43,high_frequency,20,3,1,3
history,5.39,english,wordfreq,0,2.7,12669,7,3,5.39,high_frequency,17,3,1,4
chic,3.68,english,wordfreq,4,1.65,4622,4,1,3.68,low_frequency,5,3,1,5
best,5.84,english,wordfreq,18,1.0,2603,4,1,5.84,high_frequency,34,3,1,6
coming,5.4,english,wordfreq,3,1.75,5293,6,2,5.4,high_frequency,18,3,1,7
force,5.23,english,wordfreq,3,1.7,10588,5,2,5.23,high_frequency,4,3,1,8
actually,5.49,english,wordfreq,0,2.8,280,8,3,5.49,high_frequency,23,3,1,9
family,5.66,english,wordfreq,0,2.45,9847,6,3,5.66,high_frequency,30,3,1,10
anyone,5.38,english,wordfreq,0,2.4,1202,6,3,5.38,high_frequency,16,3,1,11
addicts,3.5,english,wordfreq,0,2.7,306,7,2,3.5,low_frequency,17,3,1,12
does,5.74,english,wordfreq,12,1.05,8027,4,1,5.74,high_frequency,32,3,1,13
past,5.36,english,wordfreq,14,1.0,19453,4,1,5.36,high_frequency,15,3,1,14
list,5.28,english,wordfreq,11,1.25,15674,4,1,5.28,high_frequency,9,3,1,15
west,5.29,english,wordfreq,12,1.25,29301,4,1,5.29,high_frequency,10,3,1,16
have,6.71,english,wordfreq,15,1.0,12287,4,2,6.71,high_frequency,40,3,1,17
absorbed,3.92,english,wordfreq,0,2.8,82,8,3,3.92,low_frequency,23,3,1,18
alter,4.05,english,wordfreq,3,1.75,833,5,2,4.05,low_frequency,20,3,1,19
only,6.12,english,wordfreq,1,1.95,18735,4,2,6.12,high_frequency,38,3,1,20
really,5.97,english,wordfreq,2,1.85,21758,6,2,5.97,high_frequency,36,3,1,21
bind,3.75,english,wordfreq,11,1.2,2707,4,1,3.75,low_frequency,19,3,1,22
braves,3.56,english,wordfreq,3,1.75,3282,6,2,3.56,low_frequency,18,3,1,23
change,5.54,english,wordfreq,2,1.7,4444,6,2,5.54,high_frequency,26,3,1,24
aston,3.66,english,wordfreq,3,1.7,1674,5,2,3.66,low_frequency,4,3,1,25
blvd,3.55,english,wordfreq,1,1.95,2948,4,0,3.55,low_frequency,38,3,1,26
hand,5.41,english,wordfreq,11,1.2,12102,4,1,5.41,high_frequency,19,3,1,27
check,5.31,english,wordfreq,3,1.75,4541,5,1,5.31,high_frequency,11,3,1,28
bounce,4.02,english,wordfreq,2,1.7,3163,6,2,4.02,low_frequency,26,3,1,29
thinking,5.24,english,wordfreq,2,2.05,27005,8,2,5.24,high_frequency,6,3,1,30
their,6.33,english,wordfreq,0,1.85,26936,5,1,6.33,high_frequency,39,3,1,31
morning,5.33,english,wordfreq,1,1.8,17509,7,2,5.33,high_frequency,13,3,1,32
three,5.78,english,wordfreq,1,1.8,27058,5,1,5.78,high_frequency,33,3,1,33
without,5.69,english,wordfreq,0,3.05,29580,7,2,5.69,high_frequency,31,3,1,34
derive,3.51,english,wordfreq,0,1.8,7291,6,3,3.51,low_frequency,27,3,1,35
agnes,3.57,english,wordfreq,0,1.95,565,5,2,3.57,low_frequency,29,3,1,36
word,5.26,english,wordfreq,10,1.3,29647,4,1,5.26,high_frequency,8,3,1,37
cluster,3.99,english,wordfreq,1,1.8,5042,7,2,3.99,low_frequency,13,3,1,38
acted,4.28,english,wordfreq,0,2.0,253,5,2,4.28,low_frequency,25,3,1,39
backs,4.1,english,wordfreq,9,1.45,2034,5,1,4.1,low_frequency,22,3,1,40
until,5.61,english,wordfreq,0,1.95,28309,5,2,5.61,high_frequency,29,3,1,41
coma,3.74,english,wordfreq,11,1.25,5255,4,2,3.74,low_frequency,9,3,1,42
students,5.25,english,wordfreq,0,3.1,25902,8,2,5.25,high_frequency,7,3,1,43
annoying,4.4,english,wordfreq,0,2.95,1105,8,2,4.4,low_frequency,7,3,1,44
airways,3.72,english,wordfreq,0,2.65,640,7,2,3.72,low_frequency,2,3,1,45
basket,4.07,english,wordfreq,2,1.85,2287,6,2,4.07,low_frequency,36,3,1,46
allergy,3.6,english,wordfreq,0,2.75,770,7,3,3.6,low_frequency,28,3,1,47
crushing,3.83,english,wordfreq,2,2.05,6504,8,2,3.83,low_frequency,6,3,1,48
bodily,3.78,english,wordfreq,0,2.45,2981,6,3,3.78,low_frequency,30,3,1,49
carey,3.73,english,wordfreq,6,1.55,4060,5,2,3.73,low_frequency,21,3,1,50
rather,5.32,english,wordfreq,3,1.85,21672,6,2,5.32,high_frequency,12,3,1,51
abused,4.0,english,wordfreq,3,1.85,101,6,3,4.0,low_frequency,12,3,1,52
amend,3.55,english,wordfreq,0,1.85,898,5,2,3.55,low_frequency,39,3,1,53
accuse,3.71,english,wordfreq,0,2.4,194,6,3,3.71,low_frequency,16,3,1,54
account,5.21,english,wordfreq,0,2.65,172,7,2,5.21,high_frequency,2,3,1,55
chin,4.0,english,wordfreq,11,1.2,4659,4,1,4.0,low_frequency,37,3,1,56
makes,5.46,english,wordfreq,9,1.45,16211,5,2,5.46,high_frequency,22,3,1,57
armor,3.97,english,wordfreq,1,1.8,1459,5,2,3.97,low_frequency,33,3,1,58
cory,3.55,english,wordfreq,15,1.0,6124,4,2,3.55,low_frequency,40,3,1,59
alabama,4.26,english,wordfreq,0,2.95,657,7,4,4.26,low_frequency,31,3,1,60
lite,3.53,english,wordfreq,14,1.0,15687,4,2,3.53,low_frequency,15,3,1,61
however,5.58,english,wordfreq,0,2.75,12937,7,3,5.58,high_frequency,28,3,1,62
goes,5.22,english,wordfreq,7,1.55,11524,4,1,5.22,high_frequency,3,3,1,63
least,5.44,english,wordfreq,6,1.55,15311,5,1,5.44,high_frequency,21,3,1,64
want,6.04,english,wordfreq,11,1.2,29053,4,1,6.04,high_frequency,37,3,1,65
adverse,3.89,english,wordfreq,0,2.4,431,7,3,3.89,low_frequency,14,3,1,66
common,5.2,english,wordfreq,0,1.95,5351,6,2,5.2,high_frequency,1,3,1,67
music,5.52,english,wordfreq,0,2.0,17748,5,2,5.52,high_frequency,25,3,1,68
alien,4.29,english,wordfreq,3,1.75,737,5,2,4.29,low_frequency,11,3,1,69
hook,4.37,english,wordfreq,12,1.25,12808,4,1,4.37,low_frequency,10,3,1,70
members,5.35,english,wordfreq,0,2.4,16814,7,2,5.35,high_frequency,14,3,1,71
made,5.92,english,wordfreq,14,1.05,16114,4,2,5.92,high_frequency,35,3,1,72
went,5.5,english,wordfreq,16,1.0,29290,4,1,5.5,high_frequency,24,3,1,73
bass,4.28,english,wordfreq,14,1.05,2291,4,1,4.28,low_frequency,35,3,1,74
alison,3.76,english,wordfreq,0,1.95,750,6,3,3.76,low_frequency,1,3,1,75
pace,4.38,english,wordfreq,12,1.05,19164,4,2,4.38,low_frequency,32,3,1,76
person,5.55,english,wordfreq,0,1.8,19800,6,2,5.55,high_frequency,27,3,1,77
bake,3.91,english,wordfreq,16,1.0,2088,4,2,3.91,low_frequency,24,3,1,78
term,5.23,english,wordfreq,4,1.65,26827,4,1,5.23,high_frequency,5,3,1,79
beau,3.58,english,wordfreq,7,1.55,2404,4,1,3.58,low_frequency,3,3,1,80
