word,freq_zipf,language,source,n_density,old20,gender,id,length,n_syllables,frequency,condition,set,list,trial
entusiasta,3.65,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.75,feminine,3726,10,4,3.65,feminine,18,1,15
parecia,3.6,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,feminine,7095,7,3,3.6,feminine,34,1,16
contaría,3.19,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,2390,8,3,3.19,feminine,12,1,17
arquero,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.75,masculine,790,7,3,3.75,masculine,8,1,18
niego,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.75,masculine,6640,5,2,3.85,masculine,48,1,19
perla,3.83,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.7,feminine,7319,5,2,3.83,feminine,35,1,20
asignado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.5,masculine,882,8,4,3.86,masculine,32,1,21
alza,4.13,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.6,feminine,469,4,2,4.13,feminine,3,1,22
severa,3.8,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,feminine,8851,6,3,3.8,feminine,42,1,23
hemisferio,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,4.4,masculine,4855,10,4,3.75,masculine,13,1,24
calcuta,3.35,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.6,feminine,1501,7,3,3.35,feminine,8,1,25
despertado,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.35,masculine,3079,10,4,3.76,masculine,18,1,26
pego,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.45,masculine,7224,4,2,3.76,masculine,46,1,27
mutuo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,masculine,6501,5,2,3.86,masculine,25,1,28
camilo,3.8,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.9,masculine,1555,6,3,3.8,masculine,42,1,29
letra,4.61,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine,5651,5,2,4.61,feminine,27,1,30
ejecutado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,3472,9,5,3.86,masculine,16,1,31
cráneo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.7,masculine,2614,6,2,3.86,masculine,2,1,32
mojado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,6355,6,3,3.75,masculine,14,1,33
primicia,3.25,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.85,feminine,7752,8,3,3.25,feminine,37,1,34
dieciocho,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.95,masculine,3173,9,3,3.75,masculine,20,1,35
sospecha,4.09,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,feminine,9063,8,3,4.09,feminine,43,1,36
maravilla,4.17,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.85,feminine,6036,9,4,4.17,feminine,29,1,37
apesta,3.39,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.95,feminine,664,6,3,3.39,feminine,4,1,38
zapato,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.45,masculine,10107,6,3,3.76,masculine,41,1,39
eléctrica,4.43,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,3.1,feminine,3524,9,4,4.43,feminine,17,1,40
orientado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,6928,9,4,3.75,masculine,24,1,41
cartagena,4.08,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.45,feminine,1698,9,4,4.08,feminine,9,1,42
tango,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.65,masculine,9271,5,2,3.86,masculine,27,1,43
alumnado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.75,masculine,465,8,4,3.75,masculine,12,1,44
vincula,3.47,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.55,feminine,9972,7,3,3.47,feminine,47,1,45
guita,3.39,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,feminine,4756,5,2,3.39,feminine,23,1,46
sacada,3.48,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",4,1.75,feminine,8635,6,3,3.48,feminine,41,1,47
durango,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.6,masculine,3397,7,3,3.75,masculine,47,1,48
velo,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.45,masculine,9852,4,2,3.85,masculine,44,1,49
india,4.7,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,5192,5,2,4.7,feminine,25,1,50
armario,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.25,masculine,778,7,3,3.86,masculine,39,1,51
deshonra,3.18,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.2,feminine,3056,8,3,3.18,feminine,15,1,52
abadía,3.34,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.45,feminine,3,6,3,3.34,feminine,1,1,53
hondureña,3.12,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,3.7,feminine,4951,9,4,3.12,feminine,24,1,54
balada,3.18,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.85,feminine,1104,6,3,3.18,feminine,6,1,55
biológico,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,masculine,1254,9,4,3.75,masculine,11,1,56
hoyo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.85,masculine,4977,4,1,3.75,masculine,5,1,57
graduado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.7,masculine,4671,8,3,3.75,masculine,37,1,58
cogido,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,2040,6,3,3.75,masculine,1,1,59
divertida,4.02,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.75,feminine,3295,9,4,4.02,feminine,16,1,60
trío,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,masculine,9646,4,1,3.75,masculine,26,1,61
amlo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.9,masculine,517,4,2,3.86,masculine,3,1,62
pasivo,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,masculine,7148,6,3,3.76,masculine,40,1,63
dramático,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.95,masculine,3365,9,4,3.86,masculine,9,1,64
fabricada,3.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,feminine,4153,9,4,3.29,feminine,20,1,65
fierro,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,4263,6,2,3.76,masculine,30,1,66
cacao,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,1461,5,2,3.75,masculine,23,1,67
opina,4.06,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.65,feminine,6881,5,3,4.06,feminine,33,1,68
ético,3.83,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.7,masculine,10158,5,3,3.83,masculine,35,1,69
nocturna,3.87,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,feminine,6662,8,3,3.87,feminine,32,1,70
prieto,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2,masculine,7744,6,2,3.75,masculine,22,1,71
retina,3.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",4,1.75,feminine,8432,6,3,3.29,feminine,40,1,72
redonda,3.89,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.5,feminine,8194,7,3,3.89,feminine,39,1,73
fortaleza,4.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.3,feminine,4364,9,4,4.29,feminine,21,1,74
fragmento,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.45,masculine,4388,9,3,3.86,masculine,29,1,75
encerrado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.4,masculine,3607,9,4,3.86,masculine,17,1,76
cronología,3.71,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.9,feminine,2602,10,4,3.71,feminine,13,1,77
asado,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.55,masculine,847,5,3,3.85,masculine,33,1,78
trago,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.5,masculine,9549,5,2,3.86,masculine,28,1,79
lucha,5.09,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.4,feminine,5839,5,2,5.09,feminine,28,1,80
debida,3.73,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.75,feminine,2807,6,3,3.73,feminine,14,1,81
mesita,3.21,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,6226,6,3,3.21,feminine,30,1,82
conteo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.95,masculine,2400,6,2,3.75,masculine,4,1,83
agrado,3.77,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,masculine,282,6,3,3.77,masculine,19,1,84
orgánico,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.8,masculine,6924,8,4,3.75,masculine,38,1,85
comparada,3.7,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,2127,9,4,3.7,feminine,11,1,86
vaga,3.63,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",14,1.2,feminine,9774,4,2,3.63,feminine,46,1,87
africa,4.16,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine,255,6,3,4.16,feminine,2,1,88
gemela,3.35,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.4,feminine,4552,6,3,3.35,feminine,22,1,89
burro,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,masculine,1413,5,2,3.86,masculine,7,1,90
calzado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.75,masculine,1531,7,3,3.75,masculine,34,1,91
expulsado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,4118,9,4,3.86,masculine,21,1,92
bolsa,4.64,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,feminine,1306,5,2,4.64,feminine,7,1,93
lugo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.55,masculine,5853,4,2,3.86,masculine,36,1,94
jala,3.2,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",11,1.3,feminine,5449,4,2,3.2,feminine,26,1,95
chavismo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.1,masculine,1883,8,3,3.75,masculine,15,1,96
