word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
aww,3.67,english,wordfreq,3,1.7,1976,3,1,3.67,LF_smallN,2,1,25
acne,3.66,english,wordfreq,3,1.8,229,4,2,3.66,LF_smallN,13,1,26
art,5.29,english,wordfreq,19,1.0,1506,3,1,5.29,HF_largeN,8,1,27
city,5.61,english,wordfreq,3,1.85,4818,4,2,5.61,HF_smallN,15,1,28
aung,2.97,english,wordfreq,11,1.35,1842,4,1,2.97,LF_largeN,6,1,29
why,5.93,english,wordfreq,5,1.6,29417,3,1,5.93,HF_smallN,8,1,30
abel,3.48,english,wordfreq,1,1.7,34,4,2,3.48,LF_smallN,6,1,31
body,5.4,english,wordfreq,4,1.65,2982,4,2,5.4,HF_smallN,14,1,32
away,5.62,english,wordfreq,2,1.85,1964,4,2,5.62,HF_smallN,11,1,33
aap,3.47,english,wordfreq,21,1.0,4,3,1,3.47,LF_largeN,3,1,34
shot,5.22,english,wordfreq,9,1.25,24273,4,1,5.22,HF_largeN,7,1,35
aac,3.0,english,wordfreq,22,1.0,3,3,1,3.0,LF_largeN,2,1,36
ache,3.43,english,wordfreq,3,1.6,205,4,2,3.43,LF_smallN,11,1,37
abba,3.15,english,wordfreq,2,1.75,15,4,2,3.15,LF_smallN,4,1,38
ames,3.42,english,wordfreq,11,1.05,911,4,2,3.42,LF_largeN,4,1,39
aba,3.32,english,wordfreq,25,1.0,7,3,2,3.32,LF_largeN,8,1,40
seen,5.52,english,wordfreq,13,1.1,23797,4,1,5.52,HF_largeN,12,1,41
blu,3.75,english,wordfreq,4,1.55,2928,3,1,3.75,LF_smallN,17,1,42
abd,3.14,english,wordfreq,16,1.05,25,3,1,3.14,LF_largeN,9,1,43
box,5.04,english,wordfreq,21,1.0,3206,3,1,5.04,HF_largeN,2,1,44
aden,3.1,english,wordfreq,2,1.55,324,4,2,3.1,LF_smallN,15,1,45
able,5.43,english,wordfreq,1,1.6,46,4,2,5.43,HF_smallN,4,1,46
aclu,3.24,english,wordfreq,0,1.95,227,4,2,3.24,LF_smallN,12,1,47
bmx,2.98,english,wordfreq,4,1.7,2953,3,0,2.98,LF_smallN,18,1,48
adhd,3.49,english,wordfreq,0,1.95,328,4,1,3.49,LF_smallN,16,1,49
army,5.06,english,wordfreq,2,1.8,1467,4,2,5.06,HF_smallN,10,1,50
sir,5.06,english,wordfreq,23,1.0,24524,3,1,5.06,HF_largeN,3,1,51
bbq,3.66,english,wordfreq,5,1.7,2354,3,0,3.66,LF_smallN,3,1,52
aaa,3.77,english,wordfreq,19,1.0,2,3,1,3.77,LF_largeN,1,1,53
also,6.19,english,wordfreq,2,1.85,829,4,2,6.19,HF_smallN,5,1,54
club,5.2,english,wordfreq,1,1.85,5033,4,1,5.2,HF_smallN,16,1,55
ass,5.0,english,wordfreq,27,1.0,1591,3,1,5.0,HF_largeN,1,1,56
abby,3.56,english,wordfreq,1,1.85,23,4,2,3.56,LF_smallN,5,1,57
area,5.46,english,wordfreq,3,1.6,1396,4,2,5.46,HF_smallN,7,1,58
two,6.1,english,wordfreq,3,1.7,27905,3,1,6.1,HF_smallN,3,1,59
bff,2.95,english,wordfreq,2,1.75,2640,3,0,2.95,LF_smallN,8,1,60
bane,3.26,english,wordfreq,20,1.0,2150,4,2,3.26,LF_largeN,15,1,61
bale,3.61,english,wordfreq,20,1.0,2106,4,2,3.61,LF_largeN,14,1,62
afb,3.02,english,wordfreq,5,1.6,476,3,1,3.02,LF_smallN,1,1,63
come,5.78,english,wordfreq,19,1.0,5271,4,2,5.78,HF_largeN,14,1,64
damn,5.09,english,wordfreq,5,1.6,6750,4,1,5.09,HF_smallN,17,1,65
anti,5.01,english,wordfreq,3,1.75,1149,4,2,5.01,HF_smallN,6,1,66
acre,3.93,english,wordfreq,2,1.75,245,4,2,3.93,LF_smallN,14,1,67
ares,3.09,english,wordfreq,12,1.0,1401,4,2,3.09,LF_largeN,5,1,68
you,6.98,english,wordfreq,4,1.6,29898,3,1,6.98,HF_smallN,9,1,69
bjp,3.54,english,wordfreq,3,1.7,2780,3,0,3.54,LF_smallN,10,1,70
lives,5.14,english,wordfreq,10,1.3,15717,5,2,5.14,HF_largeN,5,1,71
babe,4.11,english,wordfreq,10,1.3,2002,4,2,4.11,LF_largeN,7,1,72
