word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
veo,5.33,spanish,wordfreq,16,1.0,29016,3,1,5.33,high_frequency,25,1,125
eua,3.82,spanish,wordfreq,8,1.45,11501,3,1,3.82,low_frequency,75,1,126
muy,6.21,spanish,wordfreq,5,1.6,19086,3,1,6.21,high_frequency,77,1,127
crece,4.3,spanish,wordfreq,3,1.6,7184,5,2,4.3,low_frequency,24,1,128
alicia,4.07,spanish,wordfreq,1,1.85,1154,6,3,4.07,low_frequency,20,1,129
aseguro,4.08,spanish,wordfreq,3,2.2,2345,7,4,4.08,low_frequency,4,1,130
alto,5.29,spanish,wordfreq,7,1.4,1272,4,2,5.29,high_frequency,19,1,131
big,4.25,spanish,wordfreq,8,1.45,3382,3,1,4.25,low_frequency,72,1,132
dejar,5.32,spanish,wordfreq,3,1.6,8118,5,2,5.32,high_frequency,24,1,133
hong,4.12,spanish,wordfreq,9,1.4,14271,4,1,4.12,low_frequency,8,1,134
baila,3.84,spanish,wordfreq,2,1.75,2956,5,2,3.84,low_frequency,71,1,135
tenía,5.51,spanish,wordfreq,5,1.6,27476,5,2,5.51,high_frequency,46,1,136
arts,3.92,spanish,wordfreq,4,1.65,2284,4,1,3.92,low_frequency,50,1,137
toda,5.72,spanish,wordfreq,8,1.4,27788,4,2,5.72,high_frequency,60,1,138
suerte,5.25,spanish,wordfreq,2,1.9,26837,6,2,5.25,high_frequency,13,1,139
varios,5.4,spanish,wordfreq,1,1.9,28843,6,2,5.4,high_frequency,34,1,140
gente,5.9,spanish,wordfreq,3,1.65,13205,5,2,5.9,high_frequency,70,1,141
debido,5.24,spanish,wordfreq,3,1.8,7886,6,3,5.24,high_frequency,9,1,142
alias,3.88,spanish,wordfreq,5,1.7,1151,5,2,3.88,low_frequency,5,1,143
deben,5.22,spanish,wordfreq,5,1.7,7864,5,2,5.22,high_frequency,5,1,144
ahh,3.83,spanish,wordfreq,7,1.55,908,3,1,3.83,low_frequency,3,1,145
odia,4.11,spanish,wordfreq,2,1.6,19936,4,2,4.11,low_frequency,23,1,146
pregunta,5.24,spanish,wordfreq,5,1.8,22298,8,3,5.24,high_frequency,11,1,147
mujeres,5.5,spanish,wordfreq,0,2.45,19007,7,3,5.5,high_frequency,45,1,148
atento,4.0,spanish,wordfreq,3,1.8,2553,6,3,4.0,low_frequency,51,1,149
aula,3.95,spanish,wordfreq,7,1.4,2675,4,2,3.95,low_frequency,19,1,150
der,4.02,spanish,wordfreq,20,1.0,8361,3,1,4.02,low_frequency,68,1,151
veces,5.67,spanish,wordfreq,3,1.8,28874,5,2,5.67,high_frequency,57,1,152
cabra,3.85,spanish,wordfreq,4,1.5,3963,5,2,3.85,low_frequency,61,1,153
allen,3.82,spanish,wordfreq,3,1.85,1190,5,2,3.82,low_frequency,14,1,154
call,3.81,spanish,wordfreq,10,1.25,4102,4,1,3.81,low_frequency,7,1,155
mayo,5.23,spanish,wordfreq,9,1.4,17975,4,1,5.23,high_frequency,8,1,156
contra,5.78,spanish,wordfreq,1,1.75,6712,6,2,5.78,high_frequency,63,1,157
almería,3.89,spanish,wordfreq,0,2.45,1212,7,3,3.89,low_frequency,65,1,158
arenas,3.85,spanish,wordfreq,4,1.7,2080,6,3,3.85,low_frequency,53,1,159
rap,3.9,spanish,wordfreq,15,1.05,23569,3,1,3.9,low_frequency,52,1,160
