word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
lobby,4.03,english,wordfreq,4,1.8,15757,5,2,4.03,continuous,22,1,57
areas,5.15,english,wordfreq,1,1.8,1397,5,2,5.15,continuous,73,1,58
with,6.85,english,wordfreq,4,1.65,29566,4,1,6.85,continuous,80,1,59
below,5.05,english,wordfreq,0,1.95,2524,5,2,5.05,continuous,71,1,60
index,4.57,english,wordfreq,0,2.0,13507,5,2,4.57,continuous,55,1,61
titled,4.1,english,wordfreq,1,1.85,27218,6,2,4.1,continuous,28,1,62
drift,3.82,english,wordfreq,1,1.8,8270,5,1,3.82,continuous,3,1,63
gauge,4.02,english,wordfreq,0,1.9,11177,5,2,4.02,continuous,21,1,64
utah,4.23,english,wordfreq,0,2.0,28442,4,2,4.23,continuous,37,1,65
dirty,4.55,english,wordfreq,0,1.95,7659,5,2,4.55,continuous,54,1,66
aligned,3.8,english,wordfreq,0,2.75,745,7,3,3.8,continuous,1,1,67
bucket,4.07,english,wordfreq,0,1.95,3537,6,2,4.07,continuous,25,1,68
tested,4.48,english,wordfreq,6,1.7,26873,6,2,4.48,continuous,51,1,69
poverty,4.46,english,wordfreq,0,2.6,20553,7,3,4.46,continuous,50,1,70
idol,3.94,english,wordfreq,0,1.95,13186,4,2,3.94,continuous,14,1,71
beaten,4.21,english,wordfreq,1,1.9,2396,6,2,4.21,continuous,35,1,72
stance,4.05,english,wordfreq,0,1.95,25494,6,2,4.05,continuous,24,1,73
father,5.26,english,wordfreq,4,1.65,9931,6,2,5.26,continuous,75,1,74
madrid,4.3,english,wordfreq,0,2.3,16125,6,2,4.3,continuous,41,1,75
entire,5.09,english,wordfreq,1,1.95,9099,6,3,5.09,continuous,72,1,76
lasted,4.09,english,wordfreq,5,1.7,15175,6,2,4.09,continuous,27,1,77
animal,4.81,english,wordfreq,0,2.35,1066,6,3,4.81,continuous,64,1,78
felix,3.84,english,wordfreq,1,1.95,10038,5,2,3.84,continuous,5,1,79
uniform,4.33,english,wordfreq,0,2.7,28169,7,3,4.33,continuous,43,1,80
