word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
mlb,3.85,english,wordfreq,4,1.65,17281,3,3.85,low_frequency,80,1,120
ali,4.31,english,wordfreq,15,1.0,730,3,4.31,low_frequency,21,1,121
end,5.68,english,wordfreq,6,1.2,8954,3,5.68,high_frequency,58,1,122
abandon,4.02,english,wordfreq,0,2.7,10,7,4.02,low_frequency,12,1,123
playing,5.37,english,wordfreq,4,1.65,20200,7,5.37,high_frequency,29,1,124
cared,4.11,english,wordfreq,8,1.4,4048,5,4.11,low_frequency,55,1,125
issue,5.23,english,wordfreq,0,2.05,14235,5,5.23,high_frequency,7,1,126
array,4.1,english,wordfreq,0,1.95,1482,5,4.1,low_frequency,52,1,127
allied,4.07,english,wordfreq,1,1.85,777,6,4.07,low_frequency,26,1,128
fry,3.89,english,wordfreq,10,1.15,10925,3,3.89,low_frequency,64,1,129
cab,3.95,english,wordfreq,21,1.0,3765,3,3.95,low_frequency,9,1,130
head,5.51,english,wordfreq,12,1.2,12329,4,5.51,high_frequency,46,1,131
admiral,4.0,english,wordfreq,0,2.7,367,7,4.0,low_frequency,50,1,132
got,5.91,english,wordfreq,23,1.0,11597,3,5.91,high_frequency,66,1,133
ios,4.12,english,wordfreq,24,1.0,14126,3,4.12,low_frequency,78,1,134
apology,4.05,english,wordfreq,0,2.7,1241,7,4.05,low_frequency,53,1,135
ian,4.32,english,wordfreq,24,1.0,13128,3,4.32,low_frequency,76,1,136
abroad,4.39,english,wordfreq,0,2.65,71,6,4.39,low_frequency,39,1,137
american,5.49,english,wordfreq,1,2.5,907,8,5.49,high_frequency,43,1,138
admin,3.92,english,wordfreq,2,1.8,355,5,3.92,low_frequency,70,1,139
air,5.37,english,wordfreq,13,1.0,614,3,5.37,high_frequency,28,1,140
off,5.93,english,wordfreq,5,1.55,18620,3,5.93,high_frequency,67,1,141
age,5.32,english,wordfreq,15,1.0,539,3,5.32,high_frequency,21,1,142
early,5.43,english,wordfreq,2,1.7,8487,5,5.43,high_frequency,37,1,143
few,5.6,english,wordfreq,16,1.0,10111,3,5.6,high_frequency,54,1,144
bug,4.2,english,wordfreq,19,1.0,3573,3,4.2,low_frequency,18,1,145
above,5.2,english,wordfreq,1,1.95,65,5,5.2,high_frequency,1,1,146
special,5.34,english,wordfreq,0,2.5,25168,7,5.34,high_frequency,25,1,147
dip,4.05,english,wordfreq,24,1.0,7630,3,4.05,low_frequency,34,1,148
already,5.55,english,wordfreq,0,2.95,826,7,5.55,high_frequency,50,1,149
example,5.27,english,wordfreq,0,2.75,9448,7,5.27,high_frequency,14,1,150
